date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,importance,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1894-03-31,Northern Ireland,Scotland,1,2,British Home Championship,Belfast,Ireland,False,1.0,986.3087322018561,1016.4300303597885,985.8375987541358,1016.9011638075087
1894-04-07,Scotland,England,2,2,British Home Championship,Glasgow,Scotland,False,1.0,1016.9011638075087,1008.8997226075127,1016.8934877442998,1008.9073986707216
1895-03-09,England,Northern Ireland,9,0,British Home Championship,Derby,England,False,1.0,1008.9073986707216,985.8375987541358,1009.3852797093335,985.3597177155239
1895-03-16,Northern Ireland,Wales,2,2,British Home Championship,Belfast,Ireland,False,1.0,985.3597177155239,988.8497665584177,985.3630660548197,988.8464182191219
1895-03-18,England,Wales,1,1,British Home Championship,London,England,False,1.0,1009.3852797093335,988.8464182191219,1009.365584706446,988.8661132220094
1895-03-23,Wales,Scotland,2,2,British Home Championship,Wrexham,Wales,False,1.0,988.8661132220094,1016.8934877442998,988.8929770842802,1016.866623882029
1895-03-30,Scotland,Northern Ireland,3,1,British Home Championship,Glasgow,Scotland,False,1.0,1016.866623882029,985.3630660548197,1017.3364358010499,984.8932541357988
1895-04-06,England,Scotland,3,0,British Home Championship,Liverpool,England,False,1.0,1009.365584706446,1017.3364358010499,1009.8732314280787,1016.8287890794172
1896-02-29,Wales,Northern Ireland,6,1,British Home Championship,Wrexham,Wales,False,1.0,988.8929770842802,984.8932541357988,989.3891397836057,984.3970914364733
1896-03-07,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,False,1.0,984.3970914364733,1009.8732314280787,983.9215140607195,1010.3488088038325
1896-03-16,Wales,England,1,9,British Home Championship,Cardiff,Wales,False,1.0,989.3891397836057,1010.3488088038325,988.9092378743172,1010.828710713121
1896-03-21,Scotland,Wales,4,0,British Home Championship,Dundee,Scotland,False,1.0,1016.8287890794172,988.9092378743172,1017.3020283664928,988.4359985872417
1896-03-28,Northern Ireland,Scotland,3,3,British Home Championship,Belfast,Ireland,False,1.0,983.9215140607195,1017.3020283664928,983.9534959512347,1017.2700464759776
1896-04-04,Scotland,England,2,1,British Home Championship,Glasgow,Scotland,False,1.0,1017.2700464759776,1010.828710713121,1017.7638669057684,1010.3348902833302
1897-02-20,England,Northern Ireland,6,0,British Home Championship,Nottingham,England,False,1.0,1010.3348902833302,983.9534959512347,1010.8096012951261,983.4787849394388
1897-03-06,Northern Ireland,Wales,4,3,British Home Championship,Belfast,Ireland,False,1.0,983.4787849394388,988.4359985872417,983.9835407986092,987.9312427280713
1897-03-20,Wales,Scotland,2,2,British Home Championship,Wrexham,Wales,False,1.0,987.9312427280713,1017.7638669057684,987.9598332378448,1017.7352763959949
1897-03-27,Scotland,Northern Ireland,5,1,British Home Championship,Glasgow,Scotland,False,1.0,1017.7352763959949,983.9835407986092,1018.2029398252655,983.5158773693386
1897-03-29,England,Wales,4,0,British Home Championship,Sheffield,England,False,1.0,1010.8096012951261,987.9598332378448,1011.2876930254039,987.481741507567
1897-04-03,England,Scotland,1,2,British Home Championship,London,England,False,1.0,1011.2876930254039,1018.2029398252655,1010.7943271961316,1018.6963056545378
1898-02-19,Wales,Northern Ireland,0,1,British Home Championship,Llandudno,Wales,False,1.0,987.481741507567,983.5158773693386,986.9779366894919,984.0196821874137
1898-03-05,Northern Ireland,England,2,3,British Home Championship,Belfast,Ireland,False,1.0,984.0196821874137,1010.7943271961316,983.5453474848408,1011.2686618987044
1898-03-19,Scotland,Wales,5,2,British Home Championship,Motherwell,Scotland,False,1.0,1018.6963056545378,986.9779366894919,1019.1659122378923,986.5083301061375
1898-03-26,Northern Ireland,Scotland,0,3,British Home Championship,Belfast,Ireland,False,1.0,983.5453474848408,1019.1659122378923,983.079469108849,1019.631790613884
1898-03-28,Wales,England,0,3,British Home Championship,Wrexham,Wales,False,1.0,986.5083301061375,1011.2686618987044,986.0320675694747,1011.7449244353671
1898-04-02,Scotland,England,1,3,British Home Championship,Glasgow,Scotland,False,1.0,1019.631790613884,1011.7449244353671,1019.12422444961,1012.2524905996412
1899-02-18,England,Northern Ireland,13,2,British Home Championship,Sunderland,England,False,1.0,1012.2524905996412,983.079469108849,1012.7245308957539,982.6074288127363
1899-03-04,Northern Ireland,Wales,1,0,British Home Championship,Belfast,Ireland,False,1.0,982.6074288127363,986.0320675694747,983.1107143996734,985.5287819825377
1899-03-18,Wales,Scotland,0,6,British Home Championship,Wrexham,Wales,False,1.0,985.5287819825377,1019.12422444961,985.0609692282922,1019.5920372038555
1899-03-20,England,Wales,4,0,British Home Championship,Bristol,England,False,1.0,1012.7245308957539,985.0609692282922,1013.1980150847579,984.5874850392881
1899-03-25,Scotland,Northern Ireland,9,1,British Home Championship,Glasgow,Scotland,False,1.0,1019.5920372038555,983.1107143996734,1020.0570936989191,982.6456579046098
1899-04-08,England,Scotland,2,1,British Home Championship,Birmingham,England,False,1.0,1013.1980150847579,1020.0570936989191,1013.7045953765511,1019.5505134071259
1900-02-03,Scotland,Wales,5,2,British Home Championship,Aberdeen,Scotland,False,1.0,1019.5505134071259,984.5874850392881,1020.0170197461915,984.1209787002225
1900-02-24,Wales,Northern Ireland,2,0,British Home Championship,Llandudno,Wales,False,1.0,984.1209787002225,982.6456579046098,984.6195632658072,982.1470733390252
1900-03-03,Northern Ireland,Scotland,0,3,British Home Championship,Belfast,Ireland,False,1.0,982.1470733390252,1020.0170197461915,981.6833423469826,1020.4807507382341
1900-03-17,Northern Ireland,England,0,2,British Home Championship,Dublin,Ireland,False,1.0,981.6833423469826,1013.7045953765511,981.2140252697643,1014.1739124537694
1900-03-26,Wales,England,1,1,British Home Championship,Cardiff,Wales,False,1.0,984.6195632658072,1014.1739124537694,984.6478876604823,1014.1455880590943
1900-04-07,Scotland,England,4,1,British Home Championship,Glasgow,Scotland,False,1.0,1020.4807507382341,1014.1455880590943,1020.974673016287,1013.6516657810413
1901-02-23,Scotland,Northern Ireland,11,0,British Home Championship,Glasgow,Scotland,False,1.0,1020.974673016287,981.2140252697643,1021.4366000769587,980.7520982090927
