year,date,round,home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_elo,away_elo,home_form,away_form,home_comp_form,away_comp_form,result
2006,2006-07-08,Third-place match,Germany,Portugal,3,1,,,1881.0,1914.0,-0.3102,0.9615,2.5388,0.6047,1
2006,2006-07-09,Final,Italy,France,1,1,5.0,3.0,1949.0,1955.0,1.3692,1.6249,-0.0376,-0.1934,0
2010,2010-06-11,Group stage,South Africa,Mexico,1,1,,,1579.0,1850.0,3.0865,0.82,-1.5463,5.1899,0
2010,2010-06-11,Group stage,Uruguay,France,0,0,,,1808.0,2004.0,0.3716,-1.2443,0.8216,0.8753,0
2010,2010-06-12,Group stage,South Korea,Greece,2,0,,,1689.0,1769.0,1.8309,-2.2621,3.589,-0.3545,1
2010,2010-06-12,Group stage,Argentina,Nigeria,1,0,,,1968.0,1735.0,1.6199,-1.7587,-4.5864,-1.9342,1
2010,2010-06-12,Group stage,England,United States,1,1,,,1975.0,1865.0,0.4766,-1.0098,2.374,1.0261,0
2010,2010-06-13,Group stage,Algeria,Slovenia,0,1,,,1399.0,1594.0,4.3539,3.832,6.4124,4.23,-1
2010,2010-06-13,Group stage,Serbia,Ghana,0,1,,,1768.0,1700.0,1.7006,-0.22,4.6774,0.8239,-1
2010,2010-06-13,Group stage,Germany,Australia,4,0,,,1979.0,1744.0,0.67,2.1948,2.4602,2.1471,1
2010,2010-06-14,Group stage,Netherlands,Denmark,2,0,,,2024.0,1818.0,1.5356,-2.4633,2.8632,1.8472,1
2010,2010-06-14,Group stage,Japan,Cameroon,1,0,,,1749.0,1768.0,-1.2358,-4.9998,0.3198,-3.6043,1
2010,2010-06-14,Group stage,Italy,Paraguay,1,1,,,2008.0,1849.0,0.0011,-2.0862,-1.9341,-0.707,0
2010,2010-06-15,Group stage,New Zealand,Slovakia,1,1,,,1496.0,1628.0,0.4843,2.2922,1.7585,4.2703,0
2010,2010-06-15,Group stage,Ivory Coast,Portugal,0,0,,,1745.0,1827.0,-0.7386,3.4992,0.4009,2.7533,0
2010,2010-06-15,Group stage,Brazil,North Korea,2,1,,,2010.0,1538.0,0.2926,-0.7277,6.6066,-0.1306,1
2010,2010-06-16,Group stage,Honduras,Chile,0,1,,,1731.0,1803.0,-1.6608,2.9361,1.0556,3.2441,-1
2010,2010-06-16,Group stage,Spain,Switzerland,0,1,,,2098.0,1788.0,2.3795,-0.3632,0.6241,0.367,-1
2010,2010-06-16,Group stage,South Africa,Uruguay,0,3,,,1579.0,1808.0,3.0865,0.3716,-1.5463,0.8216,-1
2010,2010-06-17,Group stage,Argentina,South Korea,4,1,,,1968.0,1689.0,1.6199,1.8309,-4.5864,3.589,1
2010,2010-06-17,Group stage,Greece,Nigeria,2,1,,,1769.0,1735.0,-2.2621,-1.7587,-0.3545,-1.9342,1
